Survived,Pclass,Fare,Gender,AgeFill,EmbarkedNum,FamilySize,Age*Class,Gender*Age*Class
1,3,7.2292,1,25.0,0,0,75.0,0.0
0,3,8.05,1,21.0,1,0,63.0,0.0
0,3,18.0,0,18.0,1,2,54.0,1.20588235294
1,3,11.2417,0,14.0,0,1,42.0,1.20588235294
0,3,9.475,0,40.0,1,1,120.0,1.06363636364
0,2,21.0,0,27.0,1,1,54.0,0.631284916201
0,3,7.8958,1,25.0,0,0,75.0,0.0
1,2,41.5792,0,3.0,0,3,6.0,1.22580645161
1,3,7.8792,0,19.0,2,0,57.0,1.20588235294
0,3,8.05,1,25.0,1,0,75.0,0.0
0,3,15.5,1,25.0,2,1,75.0,0.0
1,3,7.75,0,21.5,2,0,64.5,0.946927374302
0,3,21.6792,1,25.0,0,2,75.0,0.0
0,3,17.8,0,18.0,1,1,54.0,1.20588235294
0,3,39.6875,1,7.0,1,5,21.0,0.0
0,3,7.8,1,21.0,1,0,63.0,0.0
1,1,76.7292,0,49.0,0,1,49.0,0.354545454545
1,2,26.0,0,29.0,1,1,58.0,0.631284916201
0,1,61.9792,1,65.0,0,1,65.0,0.0
1,1,35.5,1,40.0,1,0,40.0,0.0
1,2,10.5,0,21.0,1,0,42.0,0.631284916201
0,3,7.2292,1,28.5,0,0,85.5,0.0
1,2,27.75,0,5.0,1,3,10.0,1.22580645161
0,3,46.9,1,11.0,1,7,33.0,0.0
0,3,7.2292,1,22.0,0,0,66.0,0.0
1,1,80.0,0,38.0,0,0,38.0,0.454054054054
0,1,83.475,1,45.0,1,1,45.0,0.0
0,3,27.9,1,4.0,1,5,12.0,0.0
0,1,27.7208,1,40.0,0,0,40.0,0.0
1,3,15.2458,1,25.0,0,2,75.0,0.0
1,2,10.5,0,29.0,1,0,58.0,0.631284916201
0,3,8.1583,1,19.0,1,0,57.0,0.0
1,3,7.925,0,17.0,1,6,51.0,1.20588235294
0,3,8.6625,1,26.0,1,2,78.0,0.0
0,2,10.5,1,32.0,1,0,64.0,0.0
0,3,46.9,0,16.0,1,7,48.0,1.20588235294
0,2,73.5,1,21.0,1,0,42.0,0.0
0,3,14.4542,1,26.0,0,1,78.0,0.0
1,3,56.4958,1,32.0,1,0,96.0,0.0
0,3,7.65,1,25.0,1,0,75.0,0.0
0,3,7.8958,1,25.0,1,0,75.0,0.0
0,3,8.05,1,25.0,1,0,75.0,0.0
1,2,29.0,1,0.83,1,2,1.66,0.0
1,3,12.475,0,30.0,1,0,90.0,1.36216216216
0,3,9.0,1,22.0,1,0,66.0,0.0
1,3,9.5,1,29.0,1,0,87.0,0.0
1,3,7.7875,0,21.5,2,0,64.5,0.946927374302
0,1,47.1,1,28.0,1,0,28.0,0.0
1,2,10.5,0,17.0,1,0,34.0,0.803921568627
1,3,15.85,0,33.0,1,3,99.0,1.36216216216
0,3,34.375,1,16.0,1,4,48.0,0.0
0,3,8.05,1,25.0,1,0,75.0,0.0
1,1,263.0,0,23.0,1,5,23.0,0.315642458101
0,3,8.05,1,24.0,1,0,72.0,0.0
0,3,8.05,1,29.0,1,0,87.0,0.0
0,3,7.8542,1,20.0,1,0,60.0,0.0
0,1,61.175,1,46.0,1,1,46.0,0.0
0,3,20.575,1,26.0,1,3,78.0,0.0
0,3,7.25,1,59.0,1,0,177.0,0.0
0,3,8.05,1,25.0,1,0,75.0,0.0
0,1,34.6542,1,71.0,0,0,71.0,0.0
1,1,63.3583,1,23.0,0,1,23.0,0.0
1,2,23.0,0,34.0,1,1,68.0,0.908108108108
0,2,26.0,1,34.0,1,1,68.0,0.0
0,3,7.8958,0,28.0,1,0,84.0,0.946927374302
0,3,7.8958,1,25.0,1,0,75.0,0.0
0,1,77.2875,1,21.0,1,1,21.0,0.0
0,3,8.6542,1,33.0,1,0,99.0,0.0
0,3,7.925,1,37.0,1,2,111.0,0.0
0,3,7.8958,1,28.0,1,0,84.0,0.0
1,3,7.65,0,21.0,1,0,63.0,0.946927374302
1,3,7.775,1,25.0,1,0,75.0,0.0
0,3,7.8958,1,38.0,1,0,114.0,0.0
1,3,24.15,0,21.5,2,1,64.5,0.946927374302
0,1,52.0,1,47.0,1,0,47.0,0.0
0,3,14.4542,0,14.5,0,1,43.5,1.20588235294
0,3,8.05,1,22.0,1,0,66.0,0.0
0,3,9.825,0,20.0,1,1,60.0,0.946927374302
0,3,14.4583,0,17.0,0,0,51.0,1.20588235294
0,3,7.925,1,21.0,1,0,63.0,0.0
0,3,7.75,1,70.5,2,0,211.5,0.0
0,2,21.0,1,29.0,1,1,58.0,0.0
0,1,247.5208,1,24.0,0,1,24.0,0.0
0,3,31.275,0,2.0,1,6,6.0,1.83870967742
0,2,73.5,1,21.0,1,2,42.0,0.0
0,3,8.05,1,25.0,1,0,75.0,0.0
0,2,30.0708,1,32.5,0,1,65.0,0.0
1,2,13.0,0,32.5,1,0,65.0,0.908108108108
0,1,77.2875,1,54.0,1,1,54.0,0.0
1,3,11.2417,1,12.0,0,1,36.0,0.0
0,3,7.75,1,25.0,2,0,75.0,0.0
1,3,7.1417,1,24.0,1,0,72.0,0.0
1,3,22.3583,0,21.5,0,2,64.5,0.946927374302
0,3,6.975,1,45.0,1,0,135.0,0.0
0,3,7.8958,1,33.0,0,0,99.0,0.0
0,3,7.05,1,20.0,1,0,60.0,0.0
0,3,14.5,0,47.0,1,1,141.0,1.06363636364
1,2,26.0,0,29.0,1,1,58.0,0.631284916201
0,2,13.0,1,25.0,1,0,50.0,0.0
0,2,15.0458,1,23.0,0,0,46.0,0.0
1,1,26.2833,0,19.0,1,2,19.0,0.401960784314
0,1,53.1,1,37.0,1,1,37.0,0.0
0,3,9.2167,1,16.0,1,0,48.0,0.0
0,1,79.2,1,24.0,0,0,24.0,0.0
0,3,15.2458,0,21.5,0,2,64.5,0.946927374302
1,3,7.75,0,22.0,1,0,66.0,0.946927374302
1,3,15.85,0,24.0,1,1,72.0,0.946927374302
0,3,6.75,1,19.0,2,0,57.0,0.0
0,2,11.5,1,18.0,1,0,36.0,0.0
0,2,36.75,1,19.0,1,2,38.0,0.0
1,3,7.7958,1,27.0,1,0,81.0,0.0
0,3,34.375,0,9.0,1,4,27.0,1.83870967742
0,2,26.0,1,36.5,1,2,73.0,0.0
0,2,13.0,1,42.0,1,0,84.0,0.0
0,2,12.525,1,51.0,1,0,102.0,0.0
1,1,66.6,0,22.0,1,1,22.0,0.315642458101
0,3,8.05,1,55.5,1,0,166.5,0.0
0,3,14.5,1,40.5,1,2,121.5,0.0
0,3,7.3125,1,25.0,1,0,75.0,0.0
0,1,61.3792,1,51.0,0,1,51.0,0.0
1,3,7.7333,0,16.0,2,0,48.0,1.20588235294
0,3,8.05,1,30.0,1,0,90.0,0.0
0,3,8.6625,1,25.0,1,0,75.0,0.0
0,3,69.55,1,25.0,1,10,75.0,0.0
0,3,16.1,1,44.0,1,1,132.0,0.0
1,2,15.75,0,40.0,1,0,80.0,0.709090909091
0,3,7.775,1,26.0,1,0,78.0,0.0
0,3,8.6625,1,17.0,1,0,51.0,0.0
0,3,39.6875,1,1.0,1,5,3.0,0.0
1,3,20.525,1,9.0,1,2,27.0,0.0
1,1,55.0,0,35.0,1,1,35.0,0.454054054054
0,3,27.9,0,45.0,1,5,135.0,1.06363636364
0,1,25.925,1,40.0,1,0,40.0,0.0
0,3,56.4958,1,28.0,1,0,84.0,0.0
0,1,33.5,1,61.0,1,0,61.0,0.0
0,3,29.125,1,4.0,2,5,12.0,0.0
1,3,11.1333,0,1.0,1,2,3.0,1.83870967742
0,3,7.925,1,21.0,1,0,63.0,0.0
0,1,30.6958,1,56.0,0,0,56.0,0.0
0,3,7.8542,1,18.0,1,2,54.0,0.0
0,3,25.4667,1,25.0,1,4,75.0,0.0
0,1,28.7125,0,50.0,0,0,50.0,0.416666666667
0,2,13.0,1,30.0,1,0,60.0,0.0
0,3,0.0,1,36.0,1,0,108.0,0.0
0,3,69.55,0,21.5,1,10,64.5,0.946927374302
0,2,15.05,1,30.0,0,0,60.0,0.0
0,3,31.3875,1,9.0,1,6,27.0,0.0
1,2,39.0,1,1.0,1,3,2.0,0.0
1,3,22.025,0,4.0,1,2,12.0,1.83870967742
0,1,50.0,1,40.0,1,0,40.0,0.0
1,3,15.5,0,21.5,2,1,64.5,0.946927374302
1,1,26.55,1,45.0,1,0,45.0,0.0
0,3,15.5,1,40.0,2,2,120.0,0.0
0,3,7.8958,1,36.0,1,0,108.0,0.0
1,2,13.0,0,32.0,1,0,64.0,0.908108108108
0,2,13.0,1,19.0,1,0,38.0,0.0
1,3,7.8542,0,19.0,1,1,57.0,1.20588235294
1,2,26.0,1,3.0,1,2,6.0,0.0
1,1,27.7208,0,44.0,0,0,44.0,0.354545454545
1,1,146.5208,0,58.0,0,0,58.0,0.416666666667
0,3,7.75,1,25.0,2,0,75.0,0.0
0,3,8.4042,1,42.0,1,1,126.0,0.0
1,3,7.75,0,21.5,2,0,64.5,0.946927374302
0,2,13.0,0,24.0,1,0,48.0,0.631284916201
0,3,9.5,1,28.0,1,0,84.0,0.0
0,3,69.55,1,25.0,1,10,75.0,0.0
0,3,6.4958,1,34.0,1,0,102.0,0.0
0,3,7.225,1,45.5,0,0,136.5,0.0
1,3,8.05,1,18.0,1,0,54.0,0.0
0,3,10.4625,0,2.0,1,1,6.0,1.83870967742
0,3,15.85,1,32.0,1,1,96.0,0.0
1,3,18.7875,1,26.0,0,0,78.0,0.0
1,3,7.75,0,16.0,2,0,48.0,1.20588235294
1,1,31.0,1,40.0,0,0,40.0,0.0
0,3,7.05,1,24.0,1,0,72.0,0.0
1,2,21.0,0,35.0,1,0,70.0,0.908108108108
0,3,7.25,1,22.0,1,0,66.0,0.0
0,2,13.0,1,30.0,1,0,60.0,0.0
0,3,7.75,1,25.0,2,1,75.0,0.0
1,1,113.275,0,31.0,0,1,31.0,0.454054054054
1,3,7.925,0,27.0,1,0,81.0,0.946927374302
0,2,27.0,1,42.0,1,1,84.0,0.0
1,1,76.2917,0,32.0,0,0,32.0,0.454054054054
0,2,10.5,1,30.0,1,0,60.0,0.0
1,3,8.05,1,16.0,1,0,48.0,0.0
0,2,13.0,1,27.0,1,0,54.0,0.0
0,3,8.05,1,51.0,1,0,153.0,0.0
0,3,7.8958,1,25.0,1,0,75.0,0.0
1,1,90.0,1,38.0,1,1,38.0,0.0
0,3,9.35,1,22.0,1,0,66.0,0.0
1,2,10.5,1,19.0,1,0,38.0,0.0
0,3,7.25,1,20.5,1,0,61.5,0.0
0,2,13.0,1,18.0,1,0,36.0,0.0
0,3,25.4667,0,21.5,1,4,64.5,0.946927374302
1,1,83.475,0,35.0,1,1,35.0,0.454054054054
0,3,7.775,1,29.0,1,0,87.0,0.0
0,2,13.5,1,59.0,1,0,118.0,0.0
1,3,31.3875,0,5.0,1,6,15.0,1.83870967742
0,2,10.5,1,24.0,1,0,48.0,0.0
0,3,7.55,0,21.5,1,0,64.5,0.946927374302
0,2,26.0,1,44.0,1,1,88.0,0.0
1,2,26.25,0,8.0,1,2,16.0,1.22580645161
0,2,10.5,1,19.0,1,0,38.0,0.0
0,2,12.275,1,33.0,1,0,66.0,0.0
0,3,14.4542,0,21.5,0,1,64.5,0.946927374302
1,3,15.5,0,21.5,2,1,64.5,0.946927374302
0,2,10.5,1,29.0,1,0,58.0,0.0
0,3,7.125,1,22.0,1,0,66.0,0.0
0,3,7.225,1,30.0,0,0,90.0,0.0
0,1,90.0,1,44.0,2,2,44.0,0.0
0,3,7.775,0,25.0,1,0,75.0,0.946927374302
1,2,14.5,0,24.0,1,2,48.0,0.631284916201
1,1,52.5542,1,37.0,1,2,37.0,0.0
0,2,26.0,1,54.0,1,1,108.0,0.0
0,3,7.25,1,25.0,1,0,75.0,0.0
0,3,10.4625,0,29.0,1,2,87.0,0.946927374302
0,1,26.55,1,62.0,1,0,62.0,0.0
0,3,16.1,1,30.0,1,1,90.0,0.0
0,3,20.2125,0,41.0,1,2,123.0,1.06363636364
1,3,15.2458,0,29.0,0,2,87.0,0.946927374302
1,1,79.2,0,35.0,0,0,35.0,0.454054054054
1,1,86.5,0,30.0,1,0,30.0,0.454054054054
1,1,512.3292,0,35.0,0,0,35.0,0.454054054054
1,2,26.0,0,50.0,1,1,100.0,0.833333333333
0,3,7.75,1,25.0,2,0,75.0,0.0
1,3,31.3875,1,3.0,1,6,9.0,0.0
0,1,79.65,1,52.0,1,2,52.0,0.0
0,1,0.0,1,40.0,1,0,40.0,0.0
0,3,7.75,0,21.5,2,0,64.5,0.946927374302
0,2,10.5,1,36.0,1,0,72.0,0.0
0,3,39.6875,1,16.0,1,5,48.0,0.0
1,3,7.775,1,25.0,1,1,75.0,0.0
1,1,153.4625,0,58.0,1,1,58.0,0.416666666667
1,1,135.6333,0,35.0,1,0,35.0,0.454054054054
0,1,31.0,1,40.0,1,0,40.0,0.0
1,3,0.0,1,25.0,1,0,75.0,0.0
1,2,19.5,0,41.0,1,1,82.0,0.709090909091
0,1,29.7,1,37.0,0,1,37.0,0.0
1,3,7.75,0,21.5,2,0,64.5,0.946927374302
1,1,77.9583,0,63.0,1,1,63.0,0.315789473684
0,3,7.75,0,45.0,1,0,135.0,1.06363636364
0,2,0.0,1,30.0,1,0,60.0,0.0
0,3,29.125,1,7.0,2,5,21.0,0.0
1,3,20.25,0,35.0,1,2,105.0,1.36216216216
0,3,7.75,1,65.0,2,0,195.0,0.0
0,3,7.8542,1,28.0,1,0,84.0,0.0
0,3,9.5,1,16.0,1,0,48.0,0.0
1,3,8.05,1,19.0,1,0,57.0,0.0
0,1,26.0,1,40.0,1,0,40.0,0.0
0,3,8.6625,1,33.0,0,0,99.0,0.0
1,3,9.5,1,30.0,1,0,90.0,0.0
0,3,7.8958,1,22.0,1,0,66.0,0.0
1,2,13.0,1,42.0,1,0,84.0,0.0
1,3,7.75,0,22.0,2,0,66.0,0.946927374302
1,1,78.85,0,26.0,1,0,26.0,0.315642458101
1,1,91.0792,0,19.0,0,1,19.0,0.401960784314
0,2,12.875,1,36.0,0,0,72.0,0.0
0,3,8.85,0,24.0,1,0,72.0,0.946927374302
0,3,7.8958,1,24.0,1,0,72.0,0.0
0,1,27.7208,1,40.0,0,0,40.0,0.0
0,3,7.2292,1,23.5,0,0,70.5,0.0
0,1,151.55,0,2.0,1,3,2.0,0.612903225806
1,1,30.5,1,40.0,1,0,40.0,0.0
1,1,247.5208,0,50.0,0,1,50.0,0.416666666667
1,3,7.75,0,21.5,2,0,64.5,0.946927374302
1,3,23.25,1,25.0,2,2,75.0,0.0
0,3,0.0,1,19.0,1,0,57.0,0.0
1,2,12.35,0,28.0,2,0,56.0,0.631284916201
0,3,8.05,1,25.0,1,0,75.0,0.0
1,1,151.55,1,0.92,1,3,0.92,0.0
1,1,110.8833,0,35.0,0,0,35.0,0.454054054054
1,1,108.9,0,17.0,0,1,17.0,0.401960784314
0,2,24.0,1,30.0,0,1,60.0,0.0
1,1,56.9292,0,30.0,0,0,30.0,0.454054054054
1,1,83.1583,0,24.0,0,0,24.0,0.315642458101
1,1,262.375,0,18.0,0,4,18.0,0.401960784314
0,2,26.0,0,26.0,1,2,52.0,0.631284916201
0,3,7.8958,1,28.0,1,0,84.0,0.0
0,2,26.25,1,43.0,1,2,86.0,0.0
1,3,7.8542,0,26.0,1,0,78.0,0.946927374302
1,2,26.0,0,24.0,1,1,48.0,0.631284916201
0,2,14.0,1,54.0,1,0,108.0,0.0
1,1,164.8667,0,31.0,1,2,31.0,0.454054054054
1,1,134.5,0,40.0,0,2,40.0,0.354545454545
0,3,7.25,1,22.0,1,0,66.0,0.0
0,3,7.8958,1,27.0,1,0,81.0,0.0
1,2,12.35,0,30.0,2,0,60.0,0.908108108108
1,2,29.0,0,22.0,1,2,44.0,0.631284916201
0,3,69.55,1,25.0,1,10,75.0,0.0
1,1,135.6333,0,36.0,0,0,36.0,0.454054054054
0,3,6.2375,1,61.0,1,0,183.0,0.0
1,2,13.0,0,36.0,1,0,72.0,0.908108108108
1,3,20.525,0,31.0,1,2,93.0,1.36216216216
1,1,57.9792,0,16.0,0,1,16.0,0.401960784314
1,3,23.25,0,21.5,2,2,64.5,0.946927374302
0,1,28.5,1,45.5,1,0,45.5,0.0
0,1,153.4625,1,38.0,1,1,38.0,0.0
0,3,18.0,1,16.0,1,2,48.0,0.0
1,1,133.65,0,35.0,1,1,35.0,0.454054054054
0,3,7.8958,1,25.0,1,0,75.0,0.0
0,1,66.6,1,29.0,1,1,29.0,0.0
1,1,134.5,0,41.0,0,0,41.0,0.354545454545
1,3,8.05,1,45.0,1,0,135.0,0.0
0,1,35.5,1,45.0,1,0,45.0,0.0
1,2,26.0,1,2.0,1,2,4.0,0.0
1,1,263.0,0,24.0,1,5,24.0,0.315642458101
0,2,13.0,1,28.0,1,0,56.0,0.0
0,2,13.0,1,25.0,1,0,50.0,0.0
0,2,13.0,1,36.0,1,0,72.0,0.0
1,2,13.0,0,24.0,1,0,48.0,0.631284916201
1,2,13.0,0,40.0,1,0,80.0,0.709090909091
1,3,16.1,0,21.5,1,1,64.5,0.946927374302
1,3,15.9,1,3.0,1,2,9.0,0.0
0,3,8.6625,1,42.0,1,0,126.0,0.0
0,3,9.225,1,23.0,1,0,69.0,0.0
0,1,35.0,1,40.0,1,0,40.0,0.0
0,3,7.2292,1,15.0,0,2,45.0,0.0
0,3,17.8,1,25.0,1,1,75.0,0.0
0,3,7.225,1,25.0,0,0,75.0,0.0
0,3,9.5,1,28.0,1,0,84.0,0.0
1,1,55.0,0,22.0,1,1,22.0,0.315642458101
0,2,13.0,0,38.0,1,0,76.0,0.908108108108
1,3,7.8792,0,21.5,2,0,64.5,0.946927374302
1,3,7.8792,0,21.5,2,0,64.5,0.946927374302
0,3,27.9,1,40.0,1,5,120.0,0.0
0,2,27.7208,1,29.0,0,1,58.0,0.0
0,3,14.4542,0,45.0,0,1,135.0,1.06363636364
0,3,7.05,1,35.0,1,0,105.0,0.0
0,3,15.5,1,25.0,2,1,75.0,0.0
0,3,7.25,1,30.0,1,0,90.0,0.0
1,1,75.25,0,60.0,0,1,60.0,0.315789473684
1,3,7.2292,0,21.5,0,0,64.5,0.946927374302
1,3,7.75,0,21.5,2,0,64.5,0.946927374302
1,1,69.3,0,24.0,0,0,24.0,0.315642458101
1,1,55.4417,1,25.0,0,1,25.0,0.0
0,3,6.4958,1,18.0,1,1,54.0,0.0
0,3,8.05,1,19.0,1,0,57.0,0.0
0,1,135.6333,1,22.0,0,0,22.0,0.0
0,3,21.075,0,3.0,1,4,9.0,1.83870967742
1,1,82.1708,0,35.0,0,1,35.0,0.454054054054
1,3,7.25,0,22.0,1,0,66.0,0.946927374302
0,1,211.5,1,27.0,0,2,27.0,0.0
0,3,4.0125,1,20.0,0,0,60.0,0.0
0,3,7.775,1,19.0,1,0,57.0,0.0
1,1,227.525,0,42.0,0,0,42.0,0.354545454545
1,3,15.7417,0,1.0,0,2,3.0,1.83870967742
0,3,7.925,1,32.0,1,0,96.0,0.0
1,1,52.0,0,35.0,1,1,35.0,0.454054054054
0,3,7.8958,1,25.0,1,0,75.0,0.0
0,2,73.5,1,18.0,1,0,36.0,0.0
0,3,46.9,1,1.0,1,7,3.0,0.0
1,2,13.0,0,36.0,1,0,72.0,0.908108108108
0,3,7.7292,1,25.0,2,0,75.0,0.0
1,2,12.0,0,17.0,0,0,34.0,0.803921568627
1,1,120.0,1,36.0,1,3,36.0,0.0
1,3,7.7958,1,21.0,1,0,63.0,0.0
0,3,7.925,1,28.0,1,2,84.0,0.0
1,1,113.275,0,23.0,0,1,23.0,0.315642458101
1,3,16.7,0,24.0,1,2,72.0,0.946927374302
0,3,7.7958,1,22.0,1,0,66.0,0.0
0,3,7.8542,0,31.0,1,0,93.0,1.36216216216
0,2,26.0,1,46.0,1,0,92.0,0.0
0,2,10.5,1,23.0,1,0,46.0,0.0
1,2,12.65,0,28.0,1,0,56.0,0.631284916201
1,3,7.925,1,39.0,1,0,117.0,0.0
0,3,8.05,1,26.0,1,0,78.0,0.0
0,3,9.825,0,21.0,1,1,63.0,0.946927374302
0,3,15.85,1,28.0,1,1,84.0,0.0
0,3,8.6625,0,20.0,1,0,60.0,0.946927374302
0,2,21.0,1,34.0,1,1,68.0,0.0
0,3,7.75,1,51.0,1,0,153.0,0.0
1,2,18.75,1,3.0,1,2,6.0,0.0
0,3,7.775,1,21.0,1,0,63.0,0.0
0,3,25.4667,0,21.5,1,4,64.5,0.946927374302
0,3,7.8958,1,25.0,1,0,75.0,0.0
0,3,6.8583,1,25.0,2,0,75.0,0.0
1,1,90.0,0,33.0,2,1,33.0,0.454054054054
0,2,0.0,1,30.0,1,0,60.0,0.0
1,3,7.925,1,44.0,1,0,132.0,0.0
0,3,8.05,0,21.5,1,0,64.5,0.946927374302
1,2,32.5,0,34.0,1,2,68.0,0.908108108108
1,2,13.0,0,18.0,1,2,36.0,0.803921568627
0,2,13.0,1,30.0,1,0,60.0,0.0
0,3,24.15,0,10.0,1,2,30.0,1.20588235294
0,3,7.8958,1,25.0,0,0,75.0,0.0
0,3,7.7333,1,21.0,2,0,63.0,0.0
0,3,7.875,1,29.0,1,0,87.0,0.0
0,3,14.4,0,28.0,1,2,84.0,0.946927374302
0,3,20.2125,1,18.0,1,2,54.0,0.0
0,3,7.25,1,25.0,1,0,75.0,0.0
1,2,26.0,0,28.0,1,1,56.0,0.631284916201
1,2,26.0,0,19.0,1,0,38.0,0.803921568627
0,3,7.75,1,25.0,2,0,75.0,0.0
1,3,8.05,1,32.0,1,0,96.0,0.0
1,1,26.55,1,28.0,1,0,28.0,0.0
1,3,16.1,0,21.5,1,1,64.5,0.946927374302
1,2,26.0,0,42.0,1,1,84.0,0.709090909091
0,3,7.125,1,17.0,1,0,51.0,0.0
0,1,55.9,1,50.0,1,1,50.0,0.0
1,1,120.0,0,14.0,1,3,14.0,0.401960784314
0,3,34.375,0,21.0,1,4,63.0,0.946927374302
1,2,18.75,0,24.0,1,5,48.0,0.631284916201
0,1,263.0,1,64.0,1,5,64.0,0.0
0,2,10.5,1,31.0,1,0,62.0,0.0
1,2,26.25,0,45.0,1,2,90.0,0.709090909091
0,3,9.5,1,20.0,1,0,60.0,0.0
0,3,7.775,1,25.0,1,1,75.0,0.0
1,2,13.0,0,28.0,1,0,56.0,0.631284916201
1,3,8.1125,1,25.0,1,0,75.0,0.0
1,1,81.8583,1,4.0,1,2,4.0,0.0
1,2,19.5,0,13.0,1,1,26.0,0.803921568627
1,1,26.55,1,34.0,1,0,34.0,0.0
1,3,19.2583,0,5.0,0,3,15.0,1.83870967742
1,1,30.5,1,52.0,1,0,52.0,0.0
0,2,27.75,1,36.0,1,3,72.0,0.0
0,3,19.9667,1,25.0,1,1,75.0,0.0
0,1,27.75,1,30.0,0,0,30.0,0.0
1,1,89.1042,1,49.0,0,1,49.0,0.0
0,3,8.05,1,25.0,1,0,75.0,0.0
1,3,7.8958,1,29.0,0,0,87.0,0.0
0,1,26.55,1,65.0,1,0,65.0,0.0
1,1,51.8625,0,35.0,1,1,35.0,0.454054054054
1,2,10.5,0,50.0,1,0,100.0,0.833333333333
0,3,7.75,1,25.0,2,0,75.0,0.0
1,1,26.55,1,48.0,1,0,48.0,0.0
0,3,8.05,1,34.0,1,0,102.0,0.0
0,1,38.5,1,47.0,1,0,47.0,0.0
0,2,13.0,1,48.0,1,0,96.0,0.0
0,3,8.05,1,25.0,1,0,75.0,0.0
0,3,7.05,1,38.0,1,0,114.0,0.0
0,2,0.0,1,30.0,1,0,60.0,0.0
0,1,26.55,1,56.0,1,0,56.0,0.0
0,3,7.725,1,25.0,2,0,75.0,0.0
1,3,19.2583,0,0.75,0,3,2.25,1.83870967742
0,3,7.25,1,25.0,1,0,75.0,0.0
0,3,8.6625,1,38.0,1,0,114.0,0.0
1,2,27.75,0,33.0,1,3,66.0,0.908108108108
1,2,13.7917,0,23.0,0,0,46.0,0.631284916201
0,3,9.8375,0,22.0,1,0,66.0,0.946927374302
0,1,52.0,1,40.0,1,0,40.0,0.0
0,2,21.0,1,34.0,1,1,68.0,0.0
0,3,7.0458,1,29.0,1,1,87.0,0.0
0,3,7.5208,1,22.0,1,0,66.0,0.0
1,3,12.2875,0,2.0,1,1,6.0,1.83870967742
0,3,46.9,1,9.0,1,7,27.0,0.0
0,2,0.0,1,30.0,1,0,60.0,0.0
0,3,8.05,1,50.0,1,0,150.0,0.0
1,3,9.5875,0,63.0,1,0,189.0,0.947368421053
1,1,91.0792,1,25.0,0,1,25.0,0.0
0,3,25.4667,0,21.5,1,4,64.5,0.946927374302
1,1,90.0,0,35.0,1,1,35.0,0.454054054054
0,1,29.7,1,58.0,0,0,58.0,0.0
0,3,8.05,1,30.0,1,0,90.0,0.0
1,3,15.9,1,9.0,1,2,27.0,0.0
0,3,19.9667,1,25.0,1,1,75.0,0.0
0,3,7.25,1,21.0,1,0,63.0,0.0
0,1,30.5,1,55.0,1,0,55.0,0.0
0,1,49.5042,1,71.0,0,0,71.0,0.0
0,3,8.05,1,21.0,1,0,63.0,0.0
0,3,14.4583,1,25.0,0,0,75.0,0.0
1,1,78.2667,0,54.0,0,1,54.0,0.416666666667
0,3,15.1,1,25.0,1,0,75.0,0.0
0,1,151.55,0,25.0,1,3,25.0,0.315642458101
0,3,7.7958,1,24.0,1,0,72.0,0.0
0,3,8.6625,1,17.0,1,0,51.0,0.0
0,3,7.75,0,21.0,2,0,63.0,0.946927374302
0,3,7.6292,0,21.5,2,0,64.5,0.946927374302
0,3,9.5875,0,37.0,1,0,111.0,1.36216216216
1,1,86.5,0,16.0,1,0,16.0,0.401960784314
0,1,108.9,1,18.0,0,1,18.0,0.0
